,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers
20515,Menji Mundadi,6-3,195,Guard,62,31,21.2,3.0,7.5,.399,1.1,2.4,.459,1.9,5.1,.399,1.6,2.3,.723,0.6,0.6,0.1,9.5,0.7,2.2,2.9,1.1
20516,Daniel Munday,6-3,195,Guard,7,0,1.9,0.0,0.1,.000,0.0,0.1,.000,0.0,0.0,.000,0.0,0.0,,0.1,0.0,0.0,0.0,0.3,0.1,0.4,0.0
20517,Danny Mundweiler,5-11,180,Guard,59,3,18.7,1.5,4.1,.372,0.4,1.0,.373,1.2,3.1,.372,0.6,0.9,.673,0.7,0.3,0.0,4.8,0.1,0.8,0.9,1.0
20518,Joey Mundweiler,6-2,185,Guard,123,80,27.1,3.5,8.9,.388,0.9,2.1,.447,2.5,6.8,.388,1.0,1.4,.680,1.6,0.6,0.1,10.4,0.2,1.5,1.7,1.4
20519,Xavier Munford,6-2,180,Guard,61,61,35.5,5.8,14.5,.398,3.6,8.1,.448,2.1,6.4,.398,3.5,4.9,.710,2.2,1.1,0.4,17.1,0.5,3.0,3.4,2.7
20520,D.J. Munir,6-3,175,Guard,106,103,35.7,5.0,12.6,.399,3.3,7.6,.441,1.7,5.0,.399,3.3,3.9,.837,3.5,1.4,0.2,15.0,0.5,3.3,3.8,2.8
20521,Bawa Muniru,6-11,237,Center,34,1,3.5,0.2,0.6,.273,0.2,0.6,.273,0.0,0.0,.273,0.2,0.4,.500,0.0,0.1,0.2,0.5,0.3,0.3,0.6,0.1
20522,Edwin Muniz,6-7,230,Forward,115,88,27.7,3.8,8.8,.432,2.8,5.9,.472,1.0,2.9,.432,2.7,3.6,.765,1.9,0.8,0.3,11.4,1.4,3.4,4.8,2.0
20523,Louis Munks,6-3,200,Guard,69,28,21.2,3.2,8.5,.378,2.1,4.9,.423,1.2,3.6,.378,2.0,2.7,.743,0.7,0.7,0.2,9.6,0.6,2.5,3.1,1.5
20524,Travis Munnings,6-6,200,Forward,134,116,32.6,4.7,10.1,.464,3.1,5.9,.529,1.6,4.2,.464,2.0,2.9,.688,2.1,0.9,0.2,12.9,2.0,5.1,7.1,2.1
20525,Daniel Munoz,6-1,175,Guard,124,82,26.9,2.1,5.7,.363,1.3,3.5,.377,0.7,2.2,.363,1.5,2.0,.783,3.0,0.6,0.1,6.4,0.2,1.8,2.0,1.8
20526,Daniel Munoz,5-10,175,Guard,25,2,4.9,0.0,0.5,.083,0.0,0.0,,0.0,0.5,.083,0.1,0.1,1.000,0.3,0.2,0.0,0.2,0.1,0.3,0.4,0.6
20527,Eric Munoz,6-7,210,Forward,25,0,1.9,0.1,0.3,.250,0.0,0.3,.143,0.0,0.0,.250,0.0,0.1,.000,0.0,0.0,0.1,0.2,0.1,0.2,0.3,0.0
20528,Jacob Munoz,5-9,160,Guard,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20529,Joseph Munoz,6-0,180,Guard,11,0,3.8,0.6,1.7,.368,0.5,0.9,.500,0.2,0.8,.368,0.5,0.5,.833,0.4,0.1,0.1,1.9,0.0,0.4,0.4,0.1
20530,Juan Munoz,5-11,165,Forward,28,0,14.3,1.8,4.4,.418,0.5,1.2,.382,1.4,3.1,.418,0.8,1.0,.852,1.0,0.5,0.0,5.8,0.1,1.2,1.3,1.0
